DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
3,5,VIX9D,252,YZ,10,7.62,2.46,3.38,0.48,3.09***,-0.04,-0.33,788
3,5,VIX9D,252,YZ,21,7.24,2.59,3.56,0.58,2.8***,-0.04,-0.34,779
3,5,VIX9D,252,YZ,63,7.58,1.96,1.73,0.5,3.87***,-0.05,-0.28,767
3,10,VIX30D,21,GK,3,5.59,1.58,1.16,0.76,3.54***,0.0,-0.09,809
3,10,VIX30D,21,GK,5,5.36,1.49,1.16,0.76,3.6***,0.0,-0.09,811
3,10,VIX30D,21,GK,10,4.72,1.36,1.19,0.77,3.47***,0.0,-0.1,812
3,10,VIX30D,21,GK,21,4.59,1.64,1.55,0.77,2.8***,0.0,-0.11,808
3,10,VIX30D,21,GK,63,5.36,1.87,1.55,0.77,2.87***,0.0,-0.1,807
3,10,VIX30D,21,HV,3,4.49,1.39,1.17,0.75,3.24***,0.0,-0.08,789
3,10,VIX30D,21,HV,5,3.55,0.94,1.16,0.75,3.8***,0.0,-0.07,790
3,10,VIX30D,21,HV,10,3.27,0.67,0.49,0.33,4.89***,0.0,-0.06,792
3,10,VIX30D,21,HV,21,3.21,0.87,1.15,0.25,3.68***,0.0,-0.06,789
3,10,VIX30D,21,HV,63,3.74,1.55,1.62,0.77,2.42***,0.0,-0.09,777
3,10,VIX30D,21,YZ,3,3.18,0.88,1.16,0.75,3.59***,0.0,-0.06,776
3,10,VIX30D,21,YZ,5,3.2,0.88,1.16,0.75,3.63***,0.0,-0.07,789
3,10,VIX30D,21,YZ,10,3.18,0.89,1.16,0.76,3.56***,0.0,-0.07,797
3,10,VIX30D,21,YZ,21,3.21,1.16,1.42,0.77,2.78***,0.0,-0.09,800
3,10,VIX30D,21,YZ,63,4.24,1.68,1.59,0.77,2.53***,0.0,-0.09,786
3,10,VIX30D,42,GK,3,4.67,1.06,1.07,0.63,4.41***,0.0,-0.08,843
3,10,VIX30D,42,GK,5,4.57,1.04,1.07,0.63,4.4***,0.0,-0.08,844
3,10,VIX30D,42,GK,10,4.27,1.02,1.07,0.63,4.18***,0.0,-0.08,846
3,10,VIX30D,42,GK,21,4.26,1.07,1.07,0.63,4.0***,0.0,-0.08,842
3,10,VIX30D,42,GK,63,4.43,1.1,1.07,0.63,4.01***,0.0,-0.07,841
3,10,VIX30D,42,HV,3,4.05,0.98,1.07,0.67,4.13***,0.0,-0.07,820
3,10,VIX30D,42,HV,5,3.52,0.82,1.07,0.75,4.3***,0.0,-0.06,825
