DTE,OTM,VIX TYPE,VIX MEMORY,ESTIMATOR,ESTIMATOR MEMORY,aRC,aSD,MD,MLD,IR,VaR,CVaR,N
3,2,VIX30D,252,YZ,5,9.17,4.53,2.37,0.08,2.02,-0.06,-0.57,79
3,2,VIX30D,252,YZ,10,8.52,4.38,2.38,0.13,1.94,-0.06,-0.55,91
3,2,VIX30D,252,YZ,21,9.87,4.45,2.36,0.17,2.22,-0.05,-0.57,96
3,2,VIX30D,252,YZ,63,4.77,5.75,4.2,0.27,0.83,-0.12,-0.89,79
3,2,VIX9D,21,GK,3,11.72,5.05,2.09,0.1,2.32,-0.14,-0.89,120
3,2,VIX9D,21,GK,5,13.28,4.49,2.05,0.06,2.96,-0.15,-0.74,122
3,2,VIX9D,21,GK,10,6.65,5.7,3.36,0.2,1.17,-0.22,-1.05,120
3,2,VIX9D,21,GK,21,-2.28,10.39,7.52,0.28,-0.22,-0.17,-1.52,125
3,2,VIX9D,21,GK,63,-7.04,12.97,9.54,0.28,-0.54,-0.27,-1.82,123
3,2,VIX9D,21,HV,3,9.39,5.07,3.26,0.08,1.85,-0.17,-0.95,112
3,2,VIX9D,21,HV,5,5.41,4.94,2.14,0.12,1.1,-0.15,-0.96,103
3,2,VIX9D,21,HV,10,6.56,3.53,2.04,0.07,1.86,-0.08,-0.52,99
3,2,VIX9D,21,HV,21,7.04,3.42,2.04,0.06,2.06,-0.07,-0.43,86
3,2,VIX9D,21,HV,63,-2.23,7.54,5.32,0.28,-0.3,-0.07,-0.98,73
3,2,VIX9D,21,YZ,3,5.58,3.28,2.05,0.1,1.7,-0.05,-0.43,65
3,2,VIX9D,21,YZ,5,5.02,3.49,2.04,0.08,1.44,-0.07,-0.52,73
3,2,VIX9D,21,YZ,10,3.79,3.45,2.08,0.08,1.1,-0.06,-0.53,82
3,2,VIX9D,21,YZ,21,3.98,3.47,2.12,0.13,1.15,-0.08,-0.49,85
3,2,VIX9D,21,YZ,63,-0.53,5.86,3.74,0.25,-0.09,-0.07,-0.84,72
